
2025/02/13 (10:15:51) | ===> btop++ v.1.4.0
2025/02/13 (10:15:51) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (13:03:39) | ===> btop++ v.1.4.0
2025/02/17 (13:03:39) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (10:23:54) | ===> btop++ v.1.4.0
2025/02/19 (10:23:54) | ERROR: Stall in Runner thread, restarting!

2025/02/19 (13:03:39) | ===> btop++ v.1.4.0
2025/02/19 (13:03:39) | WARNING: Failed to join _runner thread on exit!

2025/02/20 (13:13:32) | ===> btop++ v.1.4.0
2025/02/20 (13:13:32) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (20:49:33) | ===> btop++ v.1.4.0
2025/02/28 (20:49:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/28 (20:49:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/28 (20:49:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/28 (20:49:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/28 (20:49:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (20:16:46) | ===> btop++ v.1.4.0
2025/03/02 (20:16:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/02 (20:16:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (20:16:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/02 (20:16:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/02 (20:16:46) | WARNING: ROCm SMI: Failed to get PCIe throughput
